Idi,Idi_conc,ispA,ispA_conc,CrtE,CrtE_conc,CrtB,CrtB_conc,CrtI,CrtI_conc,result
2,1,5,1,5,1,5,1,3,1,0.576470588
4,1,4,1,3,0.1,2,1,4,1,1.688235294
3,1,3,1,2,1,3,1,5,1,0.876470588
4,1,2,1,4,1,4,0.1,2,1,0.805882353
3,1,3,0.1,3,0.1,4,1,2,0.1,2.658823529
2,0.1,2,1,2,0.1,4,1,3,0.1,0.0294117647
2,0.1,4,1,2,1,2,0.1,2,1,0.276470588
4,0.1,3,1,5,1,3,0.1,3,0.1,0.558823529
2,0.1,3,1,4,0.1,5,0.1,5,1,0.7
4,0.25,5,0.1,3,0.1,3,1,5,0.1,1.970588235
2,1,5,1,5,1,5,1,3,1,0.347058824
4,1,4,1,3,0.1,2,1,4,1,1.882352941
3,1,3,1,2,1,3,1,5,1,1.229411765
4,1,2,1,4,1,4,0.1,2,1,1.529411765
3,1,3,0.1,3,0.1,4,1,2,0.1,2.482352941
2,0.1,2,1,2,0.1,4,1,3,0.1,0.770588235
2,0.1,4,1,2,1,2,0.1,2,1,0.382352941
4,0.1,3,1,5,1,3,0.1,3,0.1,0.417647059
2,0.1,3,1,4,0.1,5,0.1,5,1,-0.00588235294
4,0.25,5,0.1,3,0.1,3,1,5,0.1,1.070588235
2,1,5,1,5,1,5,1,3,1,0.347058824
4,1,4,1,3,0.1,2,1,4,1,1.794117647
3,1,3,1,2,1,3,1,5,1,0.435294118
4,1,2,1,4,1,4,0.1,2,1,1.264705882
3,1,3,0.1,3,0.1,4,1,2,0.1,1.882352941
2,0.1,2,1,2,0.1,4,1,3,0.1,0.558823529
2,0.1,4,1,2,1,2,0.1,2,1,-0.235294118
4,0.1,3,1,5,1,3,0.1,3,0.1,-0.147058824
2,0.1,3,1,4,0.1,5,0.1,5,1,0.629411765
4,0.25,5,0.1,3,0.1,3,1,5,0.1,1.564705882
