Idi,Idi_conc,ispA,ispA_conc,CrtE,CrtE_conc,CrtB,CrtB_conc,CrtI,CrtI_conc,result
3,0.1,2,1,3,1,5,0.1,4,1,0.447963801
2,0.5,4,0.25,4,1,3,1,4,0.1,0.828054299
1,1,4,1,3,1,3,0.1,3,1,1.099547511
3,1,5,0.1,5,1,2,0.1,4,0.1,0.583710407
2,1,2,0.5,3,1,2,0.5,5,0.1,0.882352941
3,0.25,4,0.1,4,0.25,4,1,3,1,2.972850679
4,0.1,4,0.25,3,1,5,0.1,2,0.1,0.461538462
1,0.1,5,1,3,1,2,1,2,0.1,2.036199095
2,0.25,5,0.1,3,0.1,4,0.1,4,1,0.0271493213
4,0.1,2,0.25,4,0.1,2,0.1,3,0.1,1.031674208
3,0.1,2,1,3,1,5,0.1,4,1,0.63800905
2,0.5,4,0.25,4,1,3,1,4,0.1,0.909502262
1,1,4,1,3,1,3,0.1,3,1,0.678733032
3,1,5,0.1,5,1,2,0.1,4,0.1,0.583710407
2,1,2,0.5,3,1,2,0.5,5,0.1,0.909502262
3,0.25,4,0.1,4,0.25,4,1,3,1,2.402714932
4,0.1,4,0.25,3,1,5,0.1,2,0.1,0.610859729
1,0.1,5,1,3,1,2,1,2,0.1,1.50678733
2,0.25,5,0.1,3,0.1,4,0.1,4,1,0.909502262
4,0.1,2,0.25,4,0.1,2,0.1,3,0.1,1.791855204
3,0.1,2,1,3,1,5,0.1,4,1,-0.0271493213
2,0.5,4,0.25,4,1,3,1,4,0.1,0.162895928
1,1,4,1,3,1,3,0.1,3,1,0.42081448
3,1,5,0.1,5,1,2,0.1,4,0.1,0.407239819
2,1,2,0.5,3,1,2,0.5,5,0.1,0.257918552
3,0.25,4,0.1,4,0.25,4,1,3,1,2.158371041
4,0.1,4,0.25,3,1,5,0.1,2,0.1,-0.0271493213
1,0.1,5,1,3,1,2,1,2,0.1,0.828054299
2,0.25,5,0.1,3,0.1,4,0.1,4,1,0.190045249
4,0.1,2,0.25,4,0.1,2,0.1,3,0.1,0.814479638
