Idi,Idi_conc,ispA,ispA_conc,CrtE,CrtE_conc,CrtB,CrtB_conc,CrtI,CrtI_conc,result
4,0.25,3,1,3,0.1,1,0.25,4,0.1,2.246666667
3,0.1,5,1,3,0.1,1,0.25,5,1,1.666666667
1,1,3,1,4,1,2,1,3,0.5,2.206666667
1,1,4,1,3,0.1,1,1,5,0.1,1.766666667
2,0.5,1,0.25,3,0.1,3,1,2,1,1.186666667
1,1,4,0.1,1,1,4,1,2,1,1.286666667
1,0.25,2,0.1,3,0.1,4,0.25,5,0.1,2.926666667
1,1,2,1,3,0.1,1,0.5,4,1,3.466666667
3,1,1,1,4,0.1,1,1,4,1,0.966666667
2,0.1,2,0.25,4,0.25,3,0.25,1,1,1.286666667
4,0.25,3,1,3,0.1,1,0.25,4,0.1,1.646666667
3,0.1,5,1,3,0.1,1,0.25,5,1,2.466666667
1,1,3,1,4,1,2,1,3,0.5,2.766666667
1,1,4,1,3,0.1,1,1,5,0.1,1.686666667
2,0.5,1,0.25,3,0.1,3,1,2,1,1.006666667
1,1,4,0.1,1,1,4,1,2,1,2.086666667
1,0.25,2,0.1,3,0.1,4,0.25,5,0.1,1.966666667
1,1,2,1,3,0.1,1,0.5,4,1,2.426666667
3,1,1,1,4,0.1,1,1,4,1,0.406666667
2,0.1,2,0.25,4,0.25,3,0.25,1,1,0.0866666667
4,0.25,3,1,3,0.1,1,0.25,4,0.1,0.826666667
3,0.1,5,1,3,0.1,1,0.25,5,1,1.626666667
1,1,3,1,4,1,2,1,3,0.5,1.806666667
1,1,4,1,3,0.1,1,1,5,0.1,1.266666667
2,0.5,1,0.25,3,0.1,3,1,2,1,-0.173333333
1,1,4,0.1,1,1,4,1,2,1,1.686666667
1,0.25,2,0.1,3,0.1,4,0.25,5,0.1,1.546666667
1,1,2,1,3,0.1,1,0.5,4,1,2.366666667
3,1,1,1,4,0.1,1,1,4,1,0.486666667
2,0.1,2,0.25,4,0.25,3,0.25,1,1,-0.293333333
