Idi,Idi_conc,ispA,ispA_conc,CrtE,CrtE_conc,CrtB,CrtB_conc,CrtI,CrtI_conc,result
3,0.25,1,1,3,0.1,2,0.5,3,0.5,1.80952381
4,1,2,0.1,1,1,3,1,3,1,1.358974359
3,0.25,5,0.1,1,1,4,1,5,0.1,1.402930403
4,0.1,3,0.1,1,1,2,0.1,5,0.1,0.919413919
2,0.1,5,1,1,1,3,0.25,2,0.25,1.523809524
4,1,1,1,3,0.1,5,0.25,5,1,0.183150183
3,1,2,1,1,1,4,0.1,3,0.1,1.117216117
3,0.1,5,0.5,4,0.1,5,1,4,0.1,0.952380952
3,1,4,0.25,5,0.1,5,0.5,5,0.1,0.710622711
2,1,3,0.25,1,1,5,0.1,3,0.1,0.721611722
3,0.25,1,1,3,0.1,2,0.5,3,0.5,1.831501832
4,1,2,0.1,1,1,3,1,3,1,1.644688645
3,0.25,5,0.1,1,1,4,1,5,0.1,1.435897436
4,0.1,3,0.1,1,1,2,0.1,5,0.1,1.051282051
2,0.1,5,1,1,1,3,0.25,2,0.25,1.512820513
4,1,1,1,3,0.1,5,0.25,5,1,0.655677656
3,1,2,1,1,1,4,0.1,3,0.1,1.073260073
3,0.1,5,0.5,4,0.1,5,1,4,0.1,0.205128205
3,1,4,0.25,5,0.1,5,0.5,5,0.1,0.0512820513
2,1,3,0.25,1,1,5,0.1,3,0.1,0.106227106
3,0.25,1,1,3,0.1,2,0.5,3,0.5,1.326007326
4,1,2,0.1,1,1,3,1,3,1,1.315018315
3,0.25,5,0.1,1,1,4,1,5,0.1,0.996336996
4,0.1,3,0.1,1,1,2,0.1,5,0.1,0.787545788
2,0.1,5,1,1,1,3,0.25,2,0.25,1.007326007
4,1,1,1,3,0.1,5,0.25,5,1,0.304029304
3,1,2,1,1,1,4,0.1,3,0.1,0.556776557
3,0.1,5,0.5,4,0.1,5,1,4,0.1,0.567765568
3,1,4,0.25,5,0.1,5,0.5,5,0.1,0.0183150183
2,1,3,0.25,1,1,5,0.1,3,0.1,-0.333333333
