0,3,4,5,6,24_1,24_2,24_3,24
0,0,0,0,0.51,2.71,2.89,3.27,2.956666667
0,0,0.3,1,1.22,3.59,3.83,4.36,3.926666667
0,0,0.47,1.05,1.27,4.67,4.11,5.03,4.603333333
0,0,0.93,1.09,1.84,4.95,4.52,5.58,5.016666667
0,0.12,0.17,0.15,0.28,2.2,1.86,2.29,2.116666667
0,0.79,1.28,1.63,2.61,8.01,8.47,9.47,8.65
0,1.03,1.63,2.27,2.85,9.26,8.65,11.62,9.843333333
0,0,0,0,0,0.46,0.52,0.63,0.536666667
0,0,0,0,0,0.54,0.59,0.52,0.55
0,0,0,0,0,0.69,0.64,0.88,0.736666667
0,0,0,0,0,0.68,0.74,0.69,0.703333333
0,0.27,0.55,0.74,1.28,4.15,3.88,4.7,4.243333333
0,0.28,0.55,0.84,1.04,3.47,3.2,4.16,3.61
0,0.46,0.79,1.36,1.79,7.15,7.02,6.53,6.9
0,0.67,1.14,1.76,2.42,7.57,8.25,9.61,8.476666667
0,0.6,1.1,1.87,2.22,7.25,6.92,9.19,7.786666667
0,0.16,0.21,0.23,0.59,1.88,2.07,2.43,2.126666667
0,0,0.4,0.51,0.74,3.13,3.4,3.79,3.44
0,0,0.16,0.26,0.63,2.62,2.6,2.54,2.586666667
0,0.24,0.45,0.68,1.27,4.19,4.13,5.28,4.533333333
0,0.2,0.58,1.06,1.1,4.45,4.54,5.65,4.88
0,0.16,0.55,0.98,1.39,4.41,4.17,5.2,4.593333333
0,0.25,0.33,0.84,0.98,4.25,4.11,4.74,4.366666667
0,0.15,0.18,0.58,0.8,2.45,2.51,2.94,2.633333333
0,0,0.11,0.25,0.6,1.54,1.54,2.14,1.74
0,0.12,0.7,1.15,1.74,5.08,5.09,6.18,5.45
0,0.11,0.55,0.89,1.37,3.99,3.61,5.24,4.28
0,0,0.13,0.3,0.67,2.39,2.29,2.77,2.483333333
0,0.18,0.43,0.59,0.88,3.92,4.15,4.72,4.263333333
0,0.12,0.42,0.88,1.61,4.18,3.88,4.61,4.223333333
0,0.18,0.45,0.72,1.53,3.71,4.04,4.29,4.013333333
0,0.14,0.57,0.61,1.13,3.27,2.87,3.69,3.276666667
0,0,0.27,0.54,0.9,2.61,2.58,2.73,2.64
0,0,0.34,0.53,1.2,3.19,3.27,3.31,3.256666667
0,0,0.35,0.5,1,3.19,2.82,3.71,3.24
0,0,0.2,0.44,1.05,2.86,2.48,2.79,2.71
0,0.14,0.39,0.54,0.85,2.6,3.37,4.2,3.39
0,0.11,0.17,0.39,0.55,3.51,3.82,3.43,3.586666667
0,0.47,1.05,1.52,2.13,7.88,8.56,7.87,8.103333333
0,0.43,0.73,1.33,2.01,8.39,7.62,7.03,7.68
0,0.16,0.66,1.1,1.43,6.1,5.87,5.74,5.903333333
0,0.18,0.99,1.2,1.92,6.6,7.44,6.21,6.75
0,0.28,0.36,0.89,1.17,3.38,3.92,3.9,3.733333333
0,0.25,0.34,0.45,0.72,3.14,3.31,2.88,3.11
0,0.44,0.82,1.4,1.43,7.49,7.32,7.24,7.35
0,0.59,0.86,1.28,1.61,5.67,5.76,3.09,4.84
0,0.31,0.59,1.44,2.15,6.19,5.31,5.21,5.57
0,0.28,0.67,1.05,1.23,5.85,4.62,3.23,4.566666667
