1	2	3	4	5
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd4	Crt1	Ter6	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt10	Ter6	AdhE
Thl1	Hbd2	Crt12	Ter6	AdhE
Thl2	Hbd2	Crt10	Ter6	AdhE
Thl1	Hbd2	Crt10	Ter6	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl1	Hbd7	Crt11	Ter1	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl1	Hbd7	Crt12	Ter5	AdhE
Thl2	Hbd7	Crt11	Ter6	AdhE
Thl2	Hbd7	Crt12	Ter6	AdhE
Thl3	Hbd7	Crt11	Ter6	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl2	Hbd2	Crt1	Ter1	AdhE
Thl3	Hbd2	Crt1	Ter1	AdhE
Thl2	Hbd7	Crt1	Ter1	AdhE
Thl3	Hbd7	Crt1	Ter1	AdhE
Thl2	Hbd3	Crt1	Ter1	AdhE
Thl3	Hbd3	Crt1	Ter1	AdhE
Thl2	Hbd2	Crt1	Ter1	AdhE
Thl3	Hbd2	Crt1	Ter1	AdhE
Thl2	Hbd7	Crt1	Ter1	AdhE
Thl3	Hbd7	Crt1	Ter1	AdhE
Thl2	Hbd3	Crt1	Ter1	AdhE
Thl3	Hbd3	Crt1	Ter1	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl6	Hbd7	Crt11	Ter1	AdhE
Thl6	Hbd7	Crt9	Ter1	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl3	Hbd7	Crt1	Ter1	AdhE
Thl3	Hbd7	Crt12	Ter1	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl3	Hbd8	Crt10	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl3	Hbd8	Crt10	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter1	AdhE
Thl1	Hbd3	Crt1	Ter1	AdhE
Thl1	Hbd7	Crt1	Ter1	AdhE
Thl1	Hbd2	Crt1	Ter3	AdhE
Thl1	Hbd3	Crt1	Ter3	AdhE
Thl1	Hbd7	Crt1	Ter3	AdhE
Thl4AB	Hbd7	Crt12	Ter6	AdhE
Thl4AB	Hbd7	Crt12	Ter6	AdhE
Thl1	Hbd4	Crt10	Ter4	AdhE
Thl1	Hbd6	Crt10	Ter3	AdhE
Thl1	Hbd4	Crt10	Ter4	AdhE
Thl4AB	Hbd6	Crt2	Ter5	AdhE
Thl2	Hbd3	Crt10	Ter3	AdhE
Thl2	Hbd3	Crt10	Ter3	AdhE
Thl2	Hbd3	Crt10	Ter3	AdhE
Thl4AB	Hbd7	Crt12	Ter6	AdhE
Thl2	Hbd3	Crt10	Ter3	AdhE
Thl2	Hbd3	Crt10	Ter3	AdhE
Thl2	Hbd3	Crt10	Ter3	AdhE
Thl3	Hbd7	Crt1	Ter1	AdhE
Thl3	Hbd7	Crt1	Ter1	AdhE
Thl2	Hbd7	Crt1	Ter1	AdhE
