,Idi,Idi_conc,ispA,ispA_conc,CrtE,CrtE_conc,CrtB,CrtB_conc,CrtI,CrtI_conc,result
83,1,0.25,1,0.25,1,0.25,1,0.25,3,0.25,0.481481481
84,1,0.25,1,0.25,1,0.25,1,0.25,3,0.5,0.464387464
85,1,0.25,1,0.25,1,0.25,1,0.25,3,1,0.250712251
86,1,0.25,1,0.25,1,0.25,1,0.25,4,0.1,1.532763533
87,1,0.25,1,0.25,1,0.25,1,0.25,4,0.25,1.541310541
88,1,0.25,1,0.25,1,0.25,1,0.25,4,0.5,1.464387464
89,1,0.25,1,0.25,1,0.25,1,0.25,4,1,1.122507123
90,1,0.25,1,0.25,1,0.25,1,0.25,5,0.1,1.113960114
91,1,0.25,1,0.25,1,0.25,1,0.25,5,0.25,1.276353276
92,1,0.25,1,0.25,1,0.25,1,0.25,5,0.5,0.831908832
93,1,0.25,1,0.25,1,0.25,1,0.25,5,1,0.361823362
94,1,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.501312336
95,1,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.209973753
96,1,1,1,0.25,1,0.25,1,0.25,1,0.25,0.977690289
97,2,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.150918635
98,2,0.25,1,0.25,1,0.25,1,0.25,1,0.25,0.245406824
99,2,0.5,1,0.25,1,0.25,1,0.25,1,0.25,0.265091864
100,2,1,1,0.25,1,0.25,1,0.25,1,0.25,0.237532808
101,3,0.1,1,0.25,1,0.25,1,0.25,1,0.25,1.060367454
102,3,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1.194225722
103,3,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.099737533
104,3,1,1,0.25,1,0.25,1,0.25,1,0.25,0.721784777
105,4,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.954068241
106,4,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1.501312336
107,4,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.422572178
108,4,1,1,0.25,1,0.25,1,0.25,1,0.25,1.12335958
109,1,0.25,1,0.1,1,0.25,1,0.25,1,0.25,0.992709599
110,1,0.25,1,0.5,1,0.25,1,0.25,1,0.25,0.784933171
111,1,0.25,1,1,1,0.25,1,0.25,1,0.25,0.562575942
112,1,0.25,2,0.1,1,0.25,1,0.25,1,0.25,1.054678007
113,1,0.25,2,0.25,1,0.25,1,0.25,1,0.25,0.978128797
114,1,0.25,2,0.5,1,0.25,1,0.25,1,0.25,0.806804374
115,1,0.25,2,1,1,0.25,1,0.25,1,0.25,0.839611179
116,1,0.25,3,0.1,1,0.25,1,0.25,1,0.25,0.828675577
117,1,0.25,3,0.25,1,0.25,1,0.25,1,0.25,1.207776428
118,1,0.25,3,0.5,1,0.25,1,0.25,1,0.25,0.562575942
119,1,0.25,3,1,1,0.25,1,0.25,1,0.25,0.383961118
120,1,0.25,4,0.1,1,0.25,1,0.25,1,0.25,0.843256379
121,1,0.25,4,0.25,1,0.25,1,0.25,1,0.25,0.854191981
122,1,0.25,4,0.5,1,0.25,1,0.25,1,0.25,0.948967193
123,1,0.25,4,1,1,0.25,1,0.25,1,0.25,1.032806804
124,1,0.25,5,0.1,1,0.25,1,0.25,1,0.25,1.131227217
